file_name,genre,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_var,mfcc_2_var,mfcc_3_var,mfcc_4_var,mfcc_5_var,mfcc_6_var,mfcc_7_var,mfcc_8_var,mfcc_9_var,mfcc_10_var,mfcc_11_var,mfcc_12_var,mfcc_13_var,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_var,chroma_2_var,chroma_3_var,chroma_4_var,chroma_5_var,chroma_6_var,chroma_7_var,chroma_8_var,chroma_9_var,chroma_10_var,chroma_11_var,chroma_12_var,spectral_centroid_mean,spectral_centroid_var,zero_crossing_rate_mean,zero_crossing_rate_var
Similar_Ballade_00058_Cover_Genre_A.wav,Ballade,-134.1151,112.5768,4.0592,26.6085,-0.9009,10.4435,-0.1,6.1246,0.5107,4.1458,-1.7125,0.8304,-0.3132,2277.5933,329.7207,170.0582,89.6458,86.8733,56.9199,54.3492,50.6927,39.5486,46.2883,61.8637,47.4611,77.2351,0.1945,0.2398,0.4423,0.2342,0.3342,0.1782,0.3471,0.4288,0.2273,0.3811,0.2128,0.4009,0.0356,0.0441,0.1225,0.0338,0.1323,0.0181,0.0797,0.1293,0.0222,0.145,0.0198,0.1082,1250.6765,63066.7935,0.0698,0.0004
Similar_Ballade_00059_Cover_Genre_A.wav,Ballade,-47.9116,95.9272,-13.4584,41.3119,-8.0153,17.6415,1.3268,17.6802,4.303,8.6514,3.2832,3.2833,-1.3872,316.8048,90.9885,61.8972,29.4055,40.0298,31.4961,26.0768,22.2619,24.5694,26.4595,39.1447,51.6656,53.8707,0.3683,0.2053,0.2689,0.3577,0.2025,0.3782,0.2382,0.4399,0.4523,0.3252,0.4059,0.2571,0.0836,0.0218,0.047,0.0921,0.0146,0.1225,0.0203,0.1035,0.0962,0.0407,0.0881,0.0268,1504.7365,24220.0307,0.0894,0.0005
Similar_Ballade_00061_Cover_Genre_A.wav,Ballade,-129.0061,91.9421,11.5211,30.2277,4.0272,13.6994,1.4792,8.5686,3.219,7.607,0.0908,3.4891,-2.8686,2727.5474,538.5034,148.8728,81.5554,74.4457,58.8119,63.6954,45.3448,55.1232,57.3921,54.2481,56.9805,50.4453,0.4064,0.2717,0.3906,0.4104,0.2523,0.3701,0.3054,0.4804,0.3667,0.3179,0.5204,0.384,0.1083,0.0506,0.0828,0.1071,0.0351,0.1123,0.0635,0.1026,0.0801,0.0684,0.1322,0.0824,1517.5608,270878.2089,0.0811,0.0017
Similar_Ballade_00062_Cover_Genre_A.wav,Ballade,-71.4462,64.7524,18.5371,25.4428,13.5198,4.9402,0.6958,0.7454,-2.4546,2.4926,-4.2026,2.7124,-5.2569,2432.414,972.0914,257.5647,237.8111,94.6186,82.9573,80.826,47.8574,66.1083,49.0076,60.412,50.8926,64.4561,0.4548,0.29,0.342,0.3625,0.2309,0.3106,0.3199,0.4186,0.3852,0.4882,0.742,0.4798,0.0823,0.0364,0.0721,0.0656,0.0259,0.0613,0.0541,0.0643,0.0599,0.0777,0.1041,0.0623,2188.687,544531.2677,0.1392,0.0056
Similar_Ballade_00065_Cover_Genre_A.wav,Ballade,-135.0161,95.9177,37.8835,24.7048,19.3645,18.7102,8.1098,5.1806,3.3713,1.9079,-1.4223,2.9875,-2.3094,3270.24,2039.8455,376.3683,140.9054,69.3757,37.4091,56.4016,35.9995,35.1008,38.1129,47.8007,31.9107,45.4147,0.3992,0.4044,0.2676,0.2814,0.2266,0.4152,0.5028,0.4124,0.5508,0.5059,0.6034,0.5266,0.0484,0.0803,0.0481,0.0742,0.0355,0.0892,0.0941,0.053,0.1012,0.0742,0.0899,0.0822,1573.1007,535814.7464,0.0826,0.0026
Similar_Ballade_00067_Cover_Genre_A.wav,Ballade,-95.3611,95.6306,6.272,33.2078,7.4524,19.2219,7.243,13.9662,5.5696,5.5177,0.5978,2.3934,-5.1302,1051.3884,297.6418,221.2668,98.3164,83.7791,62.7324,42.6314,46.8602,36.4462,44.3915,49.7424,50.2432,41.8945,0.1841,0.2511,0.3641,0.2888,0.4129,0.3371,0.4839,0.5363,0.4226,0.4409,0.2676,0.3217,0.0242,0.0405,0.0868,0.0539,0.1068,0.0672,0.1094,0.1293,0.0776,0.1277,0.0461,0.0923,1404.8957,66847.1337,0.0686,0.0004
Similar_Ballade_00068_Cover_Genre_A.wav,Ballade,-78.2807,73.5036,10.6894,22.055,10.2071,8.2176,1.3738,5.1826,6.0657,4.392,1.8522,5.218,-4.5419,2611.967,874.3013,372.1015,148.906,128.7674,67.2145,53.0546,45.5022,44.7135,37.8448,49.2897,59.0146,73.1303,0.3562,0.2267,0.3127,0.214,0.3555,0.4307,0.3358,0.5245,0.3376,0.4488,0.2852,0.3727,0.0706,0.0405,0.0821,0.0362,0.0789,0.1249,0.0524,0.146,0.0541,0.1124,0.0485,0.0922,1911.1347,400530.2434,0.1121,0.0032
Similar_Ballade_00070_Cover_Genre_A.wav,Ballade,-161.0449,101.2776,6.5283,34.7716,17.936,15.5512,2.5187,9.2561,-1.2175,8.7069,0.8654,6.3888,-2.9972,11132.728,1366.8026,585.3969,391.888,139.2744,119.5089,115.9685,107.1161,76.5586,64.1004,77.6472,67.9431,80.6987,0.4803,0.2283,0.2726,0.2037,0.3674,0.3706,0.3997,0.5199,0.4127,0.5184,0.2603,0.2854,0.146,0.0226,0.1052,0.0245,0.0883,0.0695,0.0715,0.1045,0.0631,0.1346,0.0379,0.0493,1428.9583,370512.89,0.0673,0.0011
Similar_Ballade_00071_Cover_Genre_A.wav,Ballade,-145.8484,108.6536,11.1871,25.5097,4.5297,14.9351,6.9321,9.8618,1.1243,5.3993,2.1,3.2245,0.3899,9602.03,615.717,199.3493,156.4575,96.805,99.2644,61.6919,60.6424,65.6959,97.1151,77.4476,63.2589,52.5274,0.242,0.1798,0.3408,0.4089,0.3459,0.5319,0.3003,0.3374,0.2301,0.4149,0.4816,0.2154,0.059,0.0246,0.0493,0.1283,0.0374,0.13,0.0477,0.0813,0.0382,0.1129,0.1106,0.0316,1235.0527,103154.3354,0.0649,0.0006
Similar_Ballade_00072_Cover_Genre_A.wav,Ballade,-103.2819,85.4,2.9079,27.1264,7.5486,14.2475,1.4214,9.4236,0.9776,4.0217,-8.2969,2.0518,-0.7111,4418.1147,556.346,214.2789,50.6758,106.1755,75.4542,49.2059,73.5698,62.7731,131.7443,82.0539,122.1616,80.3267,0.3943,0.4369,0.4639,0.3969,0.3712,0.288,0.2722,0.2922,0.3107,0.5238,0.332,0.4144,0.0885,0.1014,0.1079,0.1108,0.0981,0.0801,0.0655,0.0731,0.0592,0.1287,0.0569,0.1121,1499.5656,228159.9634,0.0561,0.0008
